Type,Policy Name,Path,Standard,Customer,State
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules v4.0 - defender_enablecontrolledfolderaccess-Win10,/defender_enablecontrolledfolderaccess-Win10,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - threatseveritydefaultaction_highseveritythreats-WinServer,/threatseveritydefaultaction_highseveritythreats-WinServer,"""highseveritythreats_block""","""highseveritythreats_quarantine""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - threatseveritydefaultaction_highseveritythreats-Win10,/threatseveritydefaultaction_highseveritythreats-Win10,"""highseveritythreats_block""","""highseveritythreats_quarantine""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - threatseveritydefaultaction_highseveritythreats-Win11,/threatseveritydefaultaction_highseveritythreats-Win11,"""highseveritythreats_block""","""highseveritythreats_quarantine""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - threatseveritydefaultaction_moderateseveritythreats-WinServer,/threatseveritydefaultaction_moderateseveritythreats-WinServer,"""moderateseveritythreats_quarantine""","""moderateseveritythreats_clean""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - threatseveritydefaultaction_moderateseveritythreats-Win11,/threatseveritydefaultaction_moderateseveritythreats-Win11,"""moderateseveritythreats_quarantine""","""moderateseveritythreats_clean""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - threatseveritydefaultaction_moderateseveritythreats-Win10,/threatseveritydefaultaction_moderateseveritythreats-Win10,"""moderateseveritythreats_quarantine""","""moderateseveritythreats_clean""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - defender_schedulescanday-WinServer,/defender_schedulescanday-WinServer,"""schedulescanday_0""","""schedulescanday_5""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - defender_schedulescanday-Win11,/defender_schedulescanday-Win11,"""schedulescanday_0""","""schedulescanday_5""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10-Endpoint-Antivirus-Defender Configuration v4.0 - defender_schedulescanday-Win10,/defender_schedulescanday-Win10,"""schedulescanday_0""","""schedulescanday_5""",OutOfSync
