Type,Policy Name,Path,Standard,Customer,State
MdcaGeneralSettings,MDCA General Settings,/domains/0,"""bpsocdev.onmicrosoft.com""","",MissinginCustomer
MdcaGeneralSettings,MDCA General Settings,/domains/0,"","""biovectra.mail.onmicrosoft.com""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/1,"","""biovectra.com""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/2,"","""biovectra.onmicrosoft.com""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/fileMonitoringEnabled,"""true""","null",OutOfSync
MdcaGeneralSettings,MDCA General Settings,/fileMonitoring/shouldEnableAfterDeletion,"""false""","",MissinginCustomer
MdcaGeneralSettings,MDCA General Settings,/fileMonitoring/status,"""0""","""1""",OutOfSync
MdcaGeneralSettings,MDCA General Settings,/fileMonitoring/enabledFilePolicyExists,"""true""","",MissinginCustomer
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - defender_enablecontrolledfolderaccess-WinServer,/defender_enablecontrolledfolderaccess-WinServer,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-WinServer,/attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-WinServer,"""blockpersistencethroughwmieventsubscription_block""","""blockpersistencethroughwmieventsubscription_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockadobereaderfromcreatingchildprocesses-WinServer,/attacksurfacereductionrules_blockadobereaderfromcreatingchildprocesses-WinServer,"""blockadobereaderfromcreatingchildprocesses_block""","""blockadobereaderfromcreatingchildprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficecommunicationappfromcreatingchildprocesses-WinServer,/attacksurfacereductionrules_blockofficecommunicationappfromcreatingchildprocesses-WinServer,"""blockofficecommunicationappfromcreatingchildprocesses_block""","""blockofficecommunicationappfromcreatingchildprocesses_audit""",OutOfSync
