Type,Policy Name,Path,Standard,Customer,State
MdoAntiSpamOutboundPolicies,Default,/ActionWhenThresholdReached,"""BlockUser""","""BlockUserForToday""",OutOfSync
MdoAntiSpamInboundPolicies,Default,/HighConfidencePhishQuarantineTag,"""DefaultFullAccessPolicy""","""AdminOnlyAccessPolicy""",OutOfSync
MdoAntiMalwarePolicies,Default,/EnableInternalSenderAdminNotifications,"""false""","""True""",OutOfSync
MdoAntiPhishPolicies,Office365 AntiPhish Default,/EnableTargetedUserProtection,"""true""","""False""",OutOfSync
MdoAntiPhishPolicies,Office365 AntiPhish Default,/EnableOrganizationDomainsProtection,"""true""","""False""",OutOfSync
MdoAntiPhishPolicies,Office365 AntiPhish Default,/MailboxIntelligenceProtectionAction,"""Quarantine""","""MoveToJmf""",OutOfSync
MdoAntiPhishPolicies,Office365 AntiPhish Default,/TargetedUsersToProtect/0,"""Joseph Ghaly;joseph.ghaly@bpsocdev.onmicrosoft.com""","",MissinginCustomer
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/0,"","""e-outlook.co""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/1,"","""itsecuremail.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/2,"","""e-messages.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/3,"","""emessages.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/4,"","""e-citrix.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/5,"","""ecompliants.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/6,"","""e-compliants.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/7,"","""e-faax.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/8,"","""eonline-shopping.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/9,"","""e-owa.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/10,"","""evpnn.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/11,"","""e-vpnn.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/12,"","""order-processed.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/13,"","""storage-limit.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/14,"","""docusine.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/15,"","""barclaysbanksonline.co.uk""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/16,"","""it-admingroup.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/17,"","""it-companyadmin.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/18,"","""it-securegroup.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/19,"","""cyberriskaware.com""",MissingInStandard
MdoAntiPhishPolicies,Office365 AntiPhish Default,/ExcludedDomains/20,"","""docs-google.com""",MissingInStandard
MdcaAvailablePolicies,Malware detection,/ruleVersionId,"""652526ca357f8c0f02ee64a6""","""6388c670b8e54a5e6dfeeadf""",OutOfSync
MdcaAvailablePolicies,Malware detection,/contentFilters/0,"""{\r\n  \u0022contentFilterTimestamp\u0022: 1696933578112.2322,\r\n  \u0022type\u0022: \u0022InternalThreatDetection\u0022,\r\n  \u0022enabled\u0022: true,\r\n  \u0022subtype\u0022: 0,\r\n  \u0022detonationEnabled\u0022: true\r\n}""","",MissinginCustomer
MdcaAvailablePolicies,Malware detection,/contentFilters/0,"","{""contentFilterTimestamp"":1669908080803.6921,""type"":""InternalThreatDetection"",""enabled"":true,""subtype"":0,""detonationEnabled"":true}",MissingInStandard
MdcaAvailablePolicies,Malware detection,/lastScanned,"""1715053501879""","1705008073331",OutOfSync
MdcaAvailablePolicies,Suspicious inbox manipulation rule,/matchesCount,"""0""","",MissinginCustomer
MdcaAvailablePolicies,Suspicious inbox manipulation rule,/msFlowCheckboxChecked,"""false""","",MissinginCustomer
MdcaAvailablePolicies,Suspicious inbox manipulation rule,/msFlowId,"""None""","",MissinginCustomer
MdcaAvailablePolicies,Suspicious inbox manipulation rule,/readOnly,"""false""","",MissinginCustomer
MdcaAvailablePolicies,Suspicious inbox manipulation rule,/templateId,"""None""","",MissinginCustomer
MdcaAvailablePolicies,Suspicious inbox manipulation rule,/descriptionTemplate,"","""CONSOLE_POLICIES_BUILT_IN_POLICY_ANUBIS_INBOX_HIDING_DESCRIPTION""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/0,"""bpsocdev.onmicrosoft.com""","",MissinginCustomer
MdcaGeneralSettings,MDCA General Settings,/domains/0,"","""nshepp.onmicrosoft.com""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/1,"","""nshepp.ca""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/fileMonitoring/shouldEnableAfterDeletion,"""false""","",MissinginCustomer
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/androidRestriction/platformBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/macOSRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/macRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/windowsHomeSkuRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/windowsRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
